Gaia DR3                              RA         DEC   Gmag  Bp-Rp  Voff(km/s) Sep(deg)   3D(pc) Vr(pred)  Vr(obs)    Vrerr Plx(mas)  SpT    FnuvJ  W1-W3    RUWE  XCrate RVsrc 
Gaia DR3 5592079721850602880 113.4287641 -33.0569910 16.365  2.378       0.631   2.8517  22.9325    18.52      nan      nan    2.734 M2.6      nan    nan   0.991     nan                                None
Gaia DR3 5603798626013016576 106.3321966 -32.8912503 17.088  2.699       3.812   3.3656  22.9528    20.03      nan      nan    2.603 M3.5      nan    nan   0.987     nan                                None
Gaia DR3 5593258226518615424 112.2209741 -31.1144198 14.411  1.430       1.531   3.2974  22.9536    19.07     9.88     6.03    2.692 K4.9      nan    nan   1.803     nan                            Gaia DR3
Gaia DR3 5589889181150142464 110.0816445 -35.7882440 20.149  2.323       4.082   1.8673  22.9629    18.81      nan      nan    2.780 M2.4      nan    nan   1.122     nan                                None
Gaia DR3 5591757423206215424 112.6515696 -33.2086374 19.784  2.606       1.324   2.1871  22.9892    18.67      nan      nan    2.520 M3.3      nan    nan   1.031     nan                                None
Gaia DR3 5591917986258055552 113.9809087 -32.9344242 18.347  3.086       1.949   3.3298  23.0048    18.41      nan      nan    2.596 M4.3      nan    nan   1.123     nan                                None
Gaia DR3 5593139135667664384 112.7807833 -31.4085780 16.460  2.496       0.701   3.3386  23.0172    18.90      nan      nan    2.597 M3.0      nan    nan   1.190     nan                                None
Gaia DR3 5605031178550307072 108.9323683 -31.7896592 17.396  2.883       1.966   2.3727  23.0582    19.69      nan      nan    2.526 M3.9      nan    nan   0.994     nan                                None
Gaia DR3 5603194444376281984 109.2824318 -33.1179167 17.334  2.764       0.691   1.0932  23.0972    19.41      nan      nan    2.799 M3.6      nan    nan   1.022     nan                                None
Gaia DR3 5591746466748594944 112.1387309 -33.2011626 19.117  3.039       1.412   1.7917  23.1067    18.79      nan      nan    2.783 M4.2      nan    nan   1.058     nan                                None
Gaia DR3 5591821504113055104 114.1768956 -33.7603121 19.563  2.939       0.105   3.3314  23.1135    18.24      nan      nan    2.593 M4.0      nan    nan   0.937     nan                                None
Gaia DR3 5589220338779699712 110.3806594 -36.9445579 16.948  2.283       1.207   3.0271  23.1229    18.55      nan      nan    2.723 M2.2      nan    nan   1.042     nan                                None
Gaia DR3 5588189409192336128 113.5360717 -35.5031627 16.622  2.527       0.458   3.1861  23.1706    18.12      nan      nan    2.709 M3.1      nan    nan   1.048     nan                                None
Gaia DR3 5604846593737822592 109.9380530 -31.7879849 17.566  2.849       1.991   2.1432  23.1874    19.48      nan      nan    2.773 M3.8      nan    nan   1.071     nan                                None
Gaia DR3 5605391126870167424 110.7546163 -30.5909949 18.551  2.983       4.898   3.3677  23.1904    19.47      nan      nan    2.597 M4.1      nan    nan   1.043     nan                                None
Gaia DR3 5605909688341690624 108.4439001 -30.7775511 17.422  3.030       0.862   3.4664  23.1986    19.94      nan      nan    2.617 M4.2      nan    nan   1.306     nan                                None
Gaia DR3 5592820135558264960 111.2561582 -32.2266090 10.570    nan       0.871   1.9243  23.2109    19.13      nan      nan    2.510  nan      nan    nan   1.206     nan                                None
Gaia DR3 5589726285930089088 112.0555181 -35.7119496 20.054  2.880       4.474   2.3659  23.2112    18.41      nan      nan    2.525 M3.9      nan    nan   1.078     nan                                None
Gaia DR3 5590761338686803584 109.3057101 -34.6295169 18.952  0.958       4.106   1.0053  23.2580    19.16      nan      nan    2.802 G9.2      nan    nan   1.050     nan                                None
Gaia DR3 5602702687798674304 107.3334219 -34.2513091 17.853  2.964       4.598   2.3724  23.2711    19.62      nan      nan    2.764 M4.0      nan    nan   1.756     nan                                None
Gaia DR3 5604385799583458048 107.1923291 -31.4696755 18.789  2.782       3.696   3.5063  23.2846    20.09      nan      nan    2.656 M3.7      nan    nan   1.033     nan                                None
Gaia DR3 5604924869522324608 110.5233386 -31.4512560 13.936  1.279       2.027   2.4889  23.3179    19.40    16.81     4.44    2.759 K3.6      nan    nan   0.998     nan                            Gaia DR3
Gaia DR3 5603553778518875136 107.8403894 -32.0972098 18.565  3.557       2.176   2.6736  23.3215    19.86      nan      nan    2.538 M5.4      nan    nan   0.999     nan                                None
Gaia DR3 5593258222218862336 112.2197118 -31.1154440 17.612  2.827       1.534   3.2959  23.3823    19.07      nan      nan    2.701 M3.7      nan    nan   0.985     nan                                None
Gaia DR3 5590260300680568960 109.0029024 -36.0138645 18.385  2.813       0.795   2.2999  23.4611    18.99      nan      nan    2.769 M3.7      nan    nan   0.998     nan                                None
Gaia DR3 5591851916785725952 114.2737752 -33.1942948 10.934  0.584       4.430   3.4958  23.5494    18.31    18.44     0.48    2.673 F4.9      nan    nan   0.923     nan                            Gaia DR3
Gaia DR3 5592071681672049152 113.1953467 -33.2256591 16.637  2.508       0.170   2.6147  23.5671    18.55      nan      nan    2.756 M3.1      nan    nan   0.930     nan                                None
Gaia DR3 5586501658836312192 112.0908116 -36.9439151 16.811    nan       4.720   3.4025  23.5759    18.20      nan      nan    2.593  nan      nan    nan   1.237     nan                                None
Gaia DR3 5592610682881895040 111.6078276 -32.4842741 19.887  2.817       1.265   1.8747  23.5915    19.01      nan      nan    2.785 M3.7      nan    nan   1.078     nan                                None
Gaia DR3 5591629162601727872 111.4882011 -33.8867090 17.583  3.180       0.308   1.0943  23.6195    18.82      nan      nan    2.803 M4.6      nan    nan   1.005     nan                                None
Gaia DR3 5590592043957819648 107.8219141 -35.0806163 19.851  2.832       0.617   2.2554  23.6522    19.38      nan      nan    2.773 M3.8      nan    nan   1.094     nan                                None
Gaia DR3 5592709364055585792 110.3183404 -32.7776445 17.658  2.880       0.756   1.1513  23.6607    19.25      nan      nan    2.490 M3.9      nan    nan   1.093     nan                                None
Gaia DR3 5590138976443871360 108.8013108 -36.4628760 18.245  3.014       4.379   2.7759  23.6636    18.95      nan      nan    2.540 M4.1      nan    nan   0.989     nan                                None
Gaia DR3 5586616175549295360 112.7354689 -36.5647079 17.884  2.980       1.182   3.3717  23.6925    18.12      nan      nan    2.698 M4.1      nan    nan   1.039     nan                                None
Gaia DR3 5590576925670333056 108.6275507 -34.9207025 17.739  2.783       2.907   1.6175  23.6952    19.25      nan      nan    2.498 M3.7      nan    nan   1.083     nan                                None
Gaia DR3 5588212945613765376 112.7461469 -35.7507279 17.705  2.952       2.461   2.7949  23.6972    18.25      nan      nan    2.747 M4.0      nan    nan   1.066     nan                                None
Gaia DR3 5590019168338598912 111.3691416 -34.7762754 17.921  2.909       1.208   1.3072  23.7149    18.71      nan      nan    2.800 M3.9      nan    nan   1.004     nan                                None
Gaia DR3 5591327789034851968 112.5402318 -34.8053614 19.823  2.832       2.744   2.1462  23.7246    18.45      nan      nan    2.778 M3.8      nan    nan   1.094     nan                                None
Gaia DR3 5593063681680333440 113.2808996 -31.6895030 12.764  0.826       2.042   3.4378  23.7378    18.75     3.18     1.32    2.595 G2.3      nan    nan   0.968     nan                            Gaia DR3
Gaia DR3 5592948198591206784 112.7960523 -32.2772018 11.678  0.639       1.044   2.7465  23.7455    18.78    16.82     1.59    2.537 F6.0      nan    nan   0.997     nan                            Gaia DR3
Gaia DR3 5586653662025359872 112.1558054 -36.4512579 18.401  2.931       4.413   3.0045  23.7650    18.27      nan      nan    2.734 M4.0      nan    nan   1.021     nan                                None
Gaia DR3 5566145777299891584 107.6669210 -36.8513646 11.405  0.737       1.653   3.5697  23.7654    19.10    19.21     2.29    2.660 F9.3      nan    nan   0.866     nan                            Gaia DR3
Gaia DR3 5588168617251759744 113.6991207 -35.7441522 11.209  0.597       0.513   3.4214  23.7709    18.05    22.22     3.89    2.693 F5.2      nan    nan   1.007     nan                            Gaia DR3
Gaia DR3 5603380360619288576 107.6799402 -32.8067924 19.705  2.591       2.087   2.3602  23.7962    19.78      nan      nan    2.519 M3.3      nan    nan   1.053     nan                                None
Gaia DR3 5604872604058030464 110.3860731 -31.9340036 17.765  2.921       0.995   1.9965  23.8320    19.36      nan      nan    2.507 M3.9      nan    nan   1.014     nan                                None
Gaia DR3 5605915770015322880 108.5121131 -30.6076492 17.497  2.828       0.883   3.5989  23.8720    19.95      nan      nan    2.654 M3.7      nan    nan   1.050     nan                                None
Gaia DR3 5586507328199028352 111.5453842 -37.3478372 12.981  1.072       0.644   3.6030  23.8801    18.24    15.02     3.81    2.652 K1.9      nan    nan   2.223     nan                            Gaia DR3
Gaia DR3 5589124578185453824 110.5384304 -37.4452542 19.205    nan       2.307   3.5356  23.9276    18.43      nan      nan    2.677  nan      nan    nan   1.512     nan                                None
Gaia DR3 5586501074725843456 112.0401800 -36.9860978 13.810  1.521       4.333   3.4213  23.9487    18.20      nan      nan    2.697 K5.3      nan    nan   1.433     nan                                None
Gaia DR3 5591582772651841152 111.7665332 -34.2044587 11.016  0.636       1.661   1.3520  23.9539    18.71    -0.51     0.41    2.801 F5.9      nan    nan   0.940     nan                            Gaia DR3
Gaia DR3 5586501624476573312 112.0904984 -36.9439061 17.681    nan       4.665   3.4024  23.9598    18.20      nan      nan    2.585  nan      nan    nan   1.183     nan                                None
Gaia DR3 5592015812733527424 114.0166607 -32.8120469 18.367  2.321       1.014   3.3984  23.9599    18.42      nan      nan    2.700 M2.4      nan    nan   1.055     nan                                None
Gaia DR3 5586625903656340864 113.1045176 -36.3350666 17.084  2.879       1.128   3.4025  23.9727    18.08      nan      nan    2.700 M3.9      nan    nan   1.659     nan                                None
Gaia DR3 5589102416157709952 109.7476950 -37.3771620 17.733  3.226       4.696   3.4719  23.9729    18.60      nan      nan    2.594 M4.7      nan    nan   1.017     nan                                None
Gaia DR3 5589141238364019072 110.3681547 -37.2891511 18.772  2.858       4.016   3.3707  23.9828    18.49      nan      nan    2.581 M3.8      nan    nan   0.998     nan                                None
Gaia DR3 5602782505470240640 105.8655474 -34.6220760 13.593  1.086       4.503   3.6253  23.9853    19.83    16.42     3.15    2.644 K1.9      nan    nan   0.966     nan                            Gaia DR3
Gaia DR3 5589085545526128384 109.9554098 -37.4936238 11.720  0.699       0.900   3.5756  24.0065    18.54    16.98     2.49    2.613 F8.2      nan    nan   0.938     nan                            Gaia DR3
Gaia DR3 5591691211990156544 112.9459405 -33.4843660 17.711  3.118       1.510   2.3501  24.0120    18.57      nan      nan    2.517 M4.4      nan    nan   1.076     nan                                None
Gaia DR3 5590181449381287296 107.7646261 -36.5464359 11.393  0.643       2.508   3.2780  24.0166    19.13    19.04     1.08    2.571 F6.1      nan    nan   1.031     nan                            Gaia DR3
Gaia DR3 5603084007878293760 108.6174474 -33.5917820 19.813  3.027       4.519   1.3328  24.0467    19.47      nan      nan    2.490 M4.2      nan    nan   1.119     nan                                None
Gaia DR3 5604915386225549568 110.9424175 -31.4700790 18.290    nan       1.322   2.5368  24.0565    19.30      nan      nan    2.524  nan      nan    nan   1.062     nan                                None
Gaia DR3 5588379070644636800 114.0764646 -34.6788157 12.774  0.917       0.190   3.3140  24.0659    18.13    11.56     2.89    2.574 G8.4      nan    nan   1.430     nan                            Gaia DR3
Gaia DR3 5591774259475520256 112.4475278 -33.0881470 16.931  2.771       1.511   2.0738  24.1206    18.74      nan      nan    2.784 M3.6      nan    nan   1.212     nan                                None
Gaia DR3 5588345471124997248 113.8633719 -34.9558324 18.243  3.019       0.336   3.2160  24.1521    18.13      nan      nan    2.563 M4.2      nan    nan   1.012     nan                                None
Gaia DR3 5586484783909586816 112.2853629 -37.1213068 18.515  3.062       1.672   3.6324  24.1678    18.12      nan      nan    2.624 M4.3      nan    nan   0.985     nan                                None
Gaia DR3 5591427951973671424 113.5532177 -34.0164021 16.858  2.842       2.356   2.8069  24.1730    18.35      nan      nan    2.752 M3.8      nan    nan   0.962     nan                                None
Gaia DR3 5592485402986867712 111.0727018 -32.8262604 18.784  3.338       0.434   1.3301  24.1987    19.08      nan      nan    2.804 M4.9      nan    nan   0.977     nan                                None
Gaia DR3 5587945523770325504 113.5810673 -36.1364233 10.760  0.417       0.864   3.5636  24.2350    18.01    18.69     1.12    2.603 F0.6      nan    nan   0.840     nan                            Gaia DR3
Gaia DR3 5603239588769729792 109.1446990 -32.7872213 18.992  2.824       2.839   1.4221  24.2864    19.49      nan      nan    2.803 M3.7      nan    nan   1.039     nan                                None
Gaia DR3 5603825942004819456 106.0805075 -32.8684656 19.229  3.224       3.627   3.5732  24.2913    20.08      nan      nan    2.681 M4.7      nan    nan   1.060     nan                                None
Gaia DR3 5588400408048886144 113.8510039 -34.4284188 18.777  3.496       1.342   3.0866  24.3181    18.22      nan      nan    2.551 M5.3      nan    nan   0.961     nan                                None
Gaia DR3 5604295089867491328 106.6701011 -31.7451315 19.391  2.380       0.852   3.6589  24.3326    20.15      nan      nan    2.625 M2.6      nan    nan   1.091     nan                                None
Gaia DR3 5604851266662362112 109.9113757 -31.6758060 18.694  3.511       0.882   2.2570  24.3669    19.50      nan      nan    2.511 M5.3      nan    nan   0.938     nan                                None
Gaia DR3 5605060620544711808 109.4542379 -31.3657915 17.731  2.931       0.450   2.6267  24.3862    19.64      nan      nan    2.764 M4.0      nan    nan   1.033     nan                                None
Gaia DR3 5603813018443602176 106.5057538 -32.5859692 18.143  2.892       4.185   3.3430  24.3946    20.05      nan      nan    2.571 M3.9      nan    nan   1.036     nan                                None
Gaia DR3 5604270140405344768 106.5184849 -31.8987467 18.566  2.930       4.737   3.6730  24.4234    20.15      nan      nan    2.625 M4.0      nan    nan   1.109     nan                                None
Gaia DR3 5590969451321025664 108.8451879 -34.4242282 18.937  3.046       3.777   1.2058  24.4444    19.29      nan      nan    2.486 M4.2      nan    nan   0.900     nan                                None
Gaia DR3 5590977633239816064 109.3053652 -34.4292405 10.994  0.545       0.729   0.8770  24.5056    19.20    18.88     1.01    2.813 F4.0      nan    nan   0.867     nan                            Gaia DR3
Gaia DR3 5586133008914132352 111.2745468 -37.4849366 19.660  2.845       2.493   3.6736  24.5129    18.27      nan      nan    2.665 M3.8      nan    nan   2.050     nan                                None
Gaia DR3 5604314808063739776 107.6436209 -31.8364680 17.547  2.796       3.044   2.9753  24.5191    19.94      nan      nan    2.746 M3.7      nan    nan   0.984     nan                                None
Gaia DR3 5586708259651457792 112.4875406 -35.9355459 18.865  2.497       4.545   2.7678  24.5368    18.28      nan      nan    2.531 M3.0      nan    nan   0.993     nan                                None
Gaia DR3 5586477297787400192 112.1503162 -37.2555690 14.665  1.577       0.630   3.7015  24.5407    18.13     6.74     4.25    2.631 K5.5      nan    nan   0.971     nan                            Gaia DR3
Gaia DR3 5566139390687466752 107.5665130 -36.9360910 15.997  2.008       1.621   3.6853  24.6170    19.10      nan      nan    2.618 M0.7      nan    nan   1.271     nan                                None
Gaia DR3 5578534249687945472 106.2819486 -35.2077796 11.845  0.747       4.098   3.4501  24.6345    19.65    18.52     3.67    2.708 F9.4      nan    nan   0.922     nan                            Gaia DR3
Gaia DR3 5588793174214052608 114.6023220 -34.0956016 18.501  2.910       3.278   3.6776  24.6612    18.10      nan      nan    2.614 M3.9      nan    nan   1.095     nan                                None
Gaia DR3 5590492950470925312 107.8632987 -35.2508876 18.378  2.921       1.872   2.3178  24.6767    19.34      nan      nan    2.511 M3.9      nan    nan   1.017     nan                                None
Gaia DR3 5586590135169192064 112.6899582 -36.7622650 14.769  1.420       2.865   3.5053  24.6908    18.10     6.28     4.97    2.584 K4.8      nan    nan   1.031     nan                            Gaia DR3
Gaia DR3 5592386515654987520 111.3679555 -33.6255228 18.696  3.211       2.139   1.0387  24.7056    18.89      nan      nan    2.482 M4.6      nan    nan   1.037     nan                                None
Gaia DR3 5592857725105309440 110.6569238 -32.0918536 19.532  3.044       2.459   1.8754  24.7171    19.28      nan      nan    2.497 M4.2      nan    nan   1.024     nan                                None
Gaia DR3 5578761711158702080 105.8480861 -34.7198110 19.751  2.670       2.099   3.6574  24.7663    19.81      nan      nan    2.606 M3.4      nan    nan   1.086     nan                                None
Gaia DR3 5578540404380300416 105.9375147 -35.2970886 10.452  0.541       1.818   3.7449  24.7742    19.70    10.59     1.82    2.640 F3.8      nan    nan   1.946     nan                            Gaia DR3
Gaia DR3 5587926243658122752 113.5637981 -36.4220551 19.936  2.678       2.699   3.7335  24.7747    17.97      nan      nan    2.656 M3.5      nan    nan   1.072     nan                                None
Gaia DR3 5588764415112413184 114.2845243 -34.2848537 18.854  3.073       1.227   3.4256  24.7878    18.14      nan      nan    2.713 M4.3      nan    nan   1.017     nan                                None
Gaia DR3 5593432529168887808 111.9888635 -30.5298235 17.739  2.888       0.498   3.7248  24.7935    19.20      nan      nan    2.662 M3.9      nan    nan   0.982     nan                                None
Gaia DR3 5593358625663479808 112.5921216 -30.9342538 20.038  2.384       2.278   3.6200  24.8679    19.01      nan      nan    2.596 M2.7      nan    nan   0.993     nan                                None
Gaia DR3 5589786239370323584 112.0132985 -35.3770779 18.479  3.037       2.988   2.1010  24.9176    18.47      nan      nan    2.502 M4.2      nan    nan   1.019     nan                                None
Gaia DR3 5566390968395241728 106.7471065 -36.4345308 19.877  2.891       2.301   3.7599  24.9431    19.34      nan      nan    2.629 M3.9      nan    nan   1.069     nan                                None
Gaia DR3 5591801373604914944 113.7451562 -33.9004862 19.163  1.547       3.774   2.9666  24.9525    18.32      nan      nan    2.752 K5.4      nan    nan   2.154     nan                                None
Gaia DR3 5604409125547294208 107.1523766 -31.2369373 19.114  3.292       1.941   3.6981  24.9761    20.13      nan      nan    2.607 M4.8      nan    nan   1.043     nan                                None
Gaia DR3 5588086772351425280 114.1820945 -35.4069894 19.667  2.883       1.831   3.6178  24.9940    17.99      nan      nan    2.693 M3.9      nan    nan   0.967     nan                                None
